time_s,amplitude
0.0,-0.31
0.0027785495971103086,-0.365
0.005557099194220617,-0.405
0.008335648791330925,-0.39
0.011114198388441235,-0.375
0.013892747985551544,-0.365
0.01667129758266185,-0.355
0.01944984717977216,-0.34
0.02222839677688247,-0.34
0.025006946373992776,-0.315
0.027785495971103087,-0.295
0.030564045568213394,-0.27
0.0333425951653237,-0.255
0.03612114476243401,-0.24
0.03889969435954432,-0.23
0.04167824395665463,-0.235
0.04445679355376494,-0.235
0.04723534315087525,-0.245
0.05001389274798555,-0.23
0.052792442345095864,-0.215
0.055570991942206174,-0.235
0.05834954153931648,-0.24
0.06112809113642679,-0.225
0.06390664073353709,-0.19
0.0666851903306474,-0.16
0.06946373992775771,-0.17
0.07224228952486803,-0.19
0.07502083912197834,-0.235
0.07779938871908865,-0.245
0.08057793831619894,-0.23
0.08335648791330925,-0.23
0.08613503751041957,-0.23
0.08891358710752988,-0.265
0.09169213670464019,-0.28
0.0944706863017505,-0.26
0.09724923589886081,-0.25
0.1000277854959711,-0.255
0.10280633509308142,-0.26
0.10558488469019173,-0.225
0.10836343428730204,-0.2
0.11114198388441235,-0.215
0.11392053348152266,-0.235
0.11669908307863296,-0.235
0.11947763267574327,-0.22
0.12225618227285358,-0.205
0.1250347318699639,-0.2
0.12781328146707419,-0.235
0.1305918310641845,-0.245
0.1333703806612948,-0.24
0.13614893025840513,-0.255
0.13892747985551543,-0.27
0.14170602945262575,-0.275
0.14448457904973605,-0.265
0.14726312864684635,-0.245
0.15004167824395667,-0.225
0.15282022784106697,-0.21
0.1555987774381773,-0.23
0.1583773270352876,-0.275
0.1611558766323979,-0.29
0.1639344262295082,-0.265
0.1667129758266185,-0.21
0.16949152542372883,-0.195
0.17227007502083913,-0.205
0.17504862461794946,-0.24
0.17782717421505975,-0.27
0.18060572381217005,-0.26
0.18338427340928037,-0.175
0.18616282300639067,-0.145
0.188941372603501,-0.21
0.1917199222006113,-0.265
0.19449847179772162,-0.295
0.19727702139483191,-0.25
0.2000555709919422,-0.205
0.20283412058905254,-0.175
0.20561267018616283,-0.17
0.20839121978327316,-0.21
0.21116976938038345,-0.195
0.21394831897749375,-0.14
0.21672686857460408,-0.045
0.21950541817171437,0.01
0.2222839677688247,0.045
0.225062517365935,0.055
0.22784106696304532,0.055
0.23061961656015562,0.065
0.2333981661572659,0.055
0.23617671575437624,0.04
0.23895526535148653,0.045
0.24173381494859686,0.075
0.24451236454570716,0.075
0.24729091414281748,0.045
0.2500694637399278,0.005
0.2528480133370381,-0.05
0.25562656293414837,-0.085
0.2584051125312587,-0.1
0.261183662128369,-0.115
0.26396221172547935,-0.145
0.2667407613225896,-0.165
0.26951931091969994,-0.205
0.27229786051681026,-0.255
0.27507641011392053,-0.245
0.27785495971103086,-0.245
0.2806335093081412,-0.25
0.2834120589052515,-0.27
0.2861906085023618,-0.27
0.2889691580994721,-0.255
0.2917477076965824,-0.245
0.2945262572936927,-0.24
0.297304806890803,-0.245
0.30008335648791334,-0.23
0.3028619060850236,-0.22
0.30564045568213394,-0.245
0.30841900527924426,-0.295
0.3111975548763546,-0.34
0.31397610447346486,-0.375
0.3167546540705752,-0.365
0.3195332036676855,-0.33
0.3223117532647958,-0.2
0.3250903028619061,0.045
0.3278688524590164,0.46
0.33064740205612675,1.0
0.333425951653237,1.505
0.33620450125034734,1.85
0.33898305084745767,2.0
0.34176160044456794,2.015
0.34454015004167826,1.965
0.3473186996387886,1.77
0.3500972492358989,1.355
0.3528757988330092,0.715
0.3556543484301195,0.075
0.35843289802722983,-0.55
0.3612114476243401,-0.64
0.3639899972214504,-0.47
0.36676854681856075,-0.37
0.3695470964156711,-0.375
0.37232564601278134,-0.395
0.37510419560989167,-0.375
0.377882745207002,-0.335
0.38066129480411226,-0.355
0.3834398444012226,-0.335
0.3862183939983329,-0.29
0.38899694359544323,-0.29
0.3917754931925535,-0.29
0.39455404278966383,-0.305
0.39733259238677415,-0.38
0.4001111419838844,-0.425
0.40288969158099475,-0.365
0.40566824117810507,-0.32
0.4084467907752154,-0.32
0.41122534037232567,-0.345
0.414003889969436,-0.335
0.4167824395665463,-0.295
0.4195609891636566,-0.31
0.4223395387607669,-0.36
0.42511808835787723,-0.355
0.4278966379549875,-0.315
0.4306751875520978,-0.32
0.43345373714920815,-0.38
0.4362322867463185,-0.395
0.43901083634342875,-0.35
0.44178938594053907,-0.315
0.4445679355376494,-0.31
0.44734648513475966,-0.3
0.45012503473187,-0.27
0.4529035843289803,-0.305
0.45568213392609064,-0.32
0.4584606835232009,-0.32
0.46123923312031123,-0.285
0.46401778271742156,-0.26
0.4667963323145318,-0.295
0.46957488191164215,-0.32
0.4723534315087525,-0.32
0.4751319811058628,-0.29
0.47791053070297307,-0.29
0.4806890803000834,-0.285
0.4834676298971937,-0.28
0.486246179494304,-0.29
0.4890247290914143,-0.315
0.49180327868852464,-0.285
0.49458182828563496,-0.215
0.49736037788274523,-0.155
0.5001389274798556,-0.15
0.5029174770769659,-0.21
0.5056960266740762,-0.28
0.5084745762711865,-0.295
0.5112531258682967,-0.24
0.5140316754654071,-0.165
0.5168102250625174,-0.1
0.5195887746596277,-0.11
0.522367324256738,-0.155
0.5251458738538484,-0.185
0.5279244234509587,-0.16
0.5307029730480689,-0.1
0.5334815226451792,-0.075
0.5362600722422896,-0.08
0.5390386218393999,-0.09
0.5418171714365102,-0.07
0.5445957210336205,-0.035
0.5473742706307309,0.015
0.5501528202278411,0.03
0.5529313698249514,0.03
0.5557099194220617,0.06
0.558488469019172,0.07
0.5612670186162824,0.08
0.5640455682133927,0.09
0.566824117810503,0.115
0.5696026674076132,0.16
0.5723812170047236,0.195
0.5751597666018339,0.185
0.5779383161989442,0.175
0.5807168657960545,0.25
0.5834954153931649,0.345
0.5862739649902752,0.365
0.5890525145873854,0.355
0.5918310641844957,0.355
0.594609613781606,0.37
0.5973881633787164,0.38
0.6001667129758267,0.385
0.602945262572937,0.375
0.6057238121700472,0.345
0.6085023617671576,0.32
0.6112809113642679,0.335
0.6140594609613782,0.34
0.6168380105584885,0.36
0.6196165601555989,0.33
0.6223951097527092,0.3
0.6251736593498194,0.25
0.6279522089469297,0.24
0.63073075854404,0.21
0.6335093081411504,0.195
0.6362878577382607,0.185
0.639066407335371,0.165
0.6418449569324813,0.14
0.6446235065295916,0.125
0.6474020561267019,0.1
0.6501806057238122,0.09
0.6529591553209225,0.045
0.6557377049180328,0.0
